Date,Time,Temperature
6/24/2024,0,13
6/24/2024,100,12
6/24/2024,200,12
6/24/2024,300,12
6/24/2024,400,12
6/24/2024,500,13
6/24/2024,600,15
6/24/2024,700,17
6/24/2024,800,20
6/24/2024,900,22
6/24/2024,1000,25
6/24/2024,1100,27
6/24/2024,1200,29
6/24/2024,1300,30
6/24/2024,1400,30
6/24/2024,1500,30
6/24/2024,1600,29
6/24/2024,1700,27
6/24/2024,1800,24
6/24/2024,1900,21
6/24/2024,2000,19
6/24/2024,2100,16
6/24/2024,2200,15
6/24/2024,2300,15
6/25/2024,0,15
6/25/2024,100,14
6/25/2024,200,14
6/25/2024,300,14
6/25/2024,400,14
6/25/2024,500,15
6/25/2024,600,17
6/25/2024,700,19
6/25/2024,800,21
6/25/2024,900,24
6/25/2024,1000,26
6/25/2024,1100,27
6/25/2024,1200,28
6/25/2024,1300,29
6/25/2024,1400,29
6/25/2024,1500,29
6/25/2024,1600,28
6/25/2024,1700,26
6/25/2024,1800,24
6/25/2024,1900,21
6/25/2024,2000,19
6/25/2024,2100,17
6/25/2024,2200,16
6/25/2024,2300,15
6/26/2024,0,15
6/26/2024,100,14
6/26/2024,200,14
6/26/2024,300,13
6/26/2024,400,13
6/26/2024,500,14
6/26/2024,600,15
6/26/2024,700,17
6/26/2024,800,19
6/26/2024,900,21
6/26/2024,1000,23
6/26/2024,1100,24
6/26/2024,1200,25
6/26/2024,1300,26
6/26/2024,1400,26
6/26/2024,1500,25
6/26/2024,1600,24
6/26/2024,1700,22
6/26/2024,1800,20
6/26/2024,1900,18
6/26/2024,2000,16
6/26/2024,2100,15
6/26/2024,2200,14
6/26/2024,2300,13
6/27/2024,0,12
6/27/2024,100,12
6/27/2024,200,11
6/27/2024,300,11
6/27/2024,400,11
6/27/2024,500,12
6/27/2024,600,13
6/27/2024,700,14
6/27/2024,800,16
6/27/2024,900,18
6/27/2024,1000,21
6/27/2024,1100,22
6/27/2024,1200,24
6/27/2024,1300,25
6/27/2024,1400,25
6/27/2024,1500,24
6/27/2024,1600,23
6/27/2024,1700,21
6/27/2024,1800,20
6/27/2024,1900,17
6/27/2024,2000,16
6/27/2024,2100,14
6/27/2024,2200,13
6/27/2024,2300,12
6/28/2024,0,11
6/28/2024,100,11
6/28/2024,200,10
6/28/2024,300,10
6/28/2024,400,10
6/28/2024,500,11
6/28/2024,600,13
6/28/2024,700,15
6/28/2024,800,18
6/28/2024,900,21
6/28/2024,1000,23
6/28/2024,1100,26
6/28/2024,1200,28
6/28/2024,1300,29
6/28/2024,1400,30
6/28/2024,1500,29
6/28/2024,1600,28
6/28/2024,1700,27
6/28/2024,1800,24
6/28/2024,1900,22
6/28/2024,2000,19
6/28/2024,2100,18
6/28/2024,2200,16
6/28/2024,2300,14
6/29/2024,0,13
6/29/2024,100,13
6/29/2024,200,12
6/29/2024,300,12
6/29/2024,400,12
6/29/2024,500,13
6/29/2024,600,15
6/29/2024,700,17
6/29/2024,800,19
6/29/2024,900,22
6/29/2024,1000,24
6/29/2024,1100,27
6/29/2024,1200,28
6/29/2024,1300,30
6/29/2024,1400,30
6/29/2024,1500,30
6/29/2024,1600,29
6/29/2024,1700,27
6/29/2024,1800,25
6/29/2024,1900,22
6/29/2024,2000,20
6/29/2024,2100,18
6/29/2024,2200,17
6/29/2024,2300,16
6/30/2024,0,15
6/30/2024,100,15
6/30/2024,200,14
6/30/2024,300,14
6/30/2024,400,14
6/30/2024,500,14
6/30/2024,600,16
6/30/2024,700,17
6/30/2024,800,20
6/30/2024,900,22
6/30/2024,1000,24
6/30/2024,1100,26
6/30/2024,1200,28
6/30/2024,1300,29
6/30/2024,1400,29
6/30/2024,1500,29
6/30/2024,1600,27
6/30/2024,1700,25
6/30/2024,1800,23
6/30/2024,1900,21
6/30/2024,2000,19
6/30/2024,2100,17
6/30/2024,2200,16
6/30/2024,2300,15
7/1/2024,0,14
7/1/2024,100,14
7/1/2024,200,14
7/1/2024,300,14
7/1/2024,400,14
7/1/2024,500,15
7/1/2024,600,17
7/1/2024,700,19
7/1/2024,800,21
7/1/2024,900,24
7/1/2024,1000,27
7/1/2024,1100,29
7/1/2024,1200,31
7/1/2024,1300,32
7/1/2024,1400,32
7/1/2024,1500,32
7/1/2024,1600,31
7/1/2024,1700,29
7/1/2024,1800,27
7/1/2024,1900,25
7/1/2024,2000,23
7/1/2024,2100,21
7/1/2024,2200,20
7/1/2024,2300,19
7/2/2024,0,18
7/2/2024,100,18
7/2/2024,200,18
7/2/2024,300,18
7/2/2024,400,18
7/2/2024,500,19
7/2/2024,600,21
7/2/2024,700,24
7/2/2024,800,26
7/2/2024,900,29
7/2/2024,1000,32
7/2/2024,1100,34
7/2/2024,1200,36
7/2/2024,1300,37
7/2/2024,1400,38
7/2/2024,1500,38
7/2/2024,1600,36
7/2/2024,1700,34
7/2/2024,1800,32
7/2/2024,1900,29
7/2/2024,2000,26
7/2/2024,2100,24
7/2/2024,2200,23
7/2/2024,2300,22
7/3/2024,0,21
7/3/2024,100,20
7/3/2024,200,20
7/3/2024,300,20
7/3/2024,400,20
7/3/2024,500,22
7/3/2024,600,24
7/3/2024,700,26
7/3/2024,800,29
7/3/2024,900,31
7/3/2024,1000,34
7/3/2024,1100,36
7/3/2024,1200,37
7/3/2024,1300,38
7/3/2024,1400,38
7/3/2024,1500,38
7/3/2024,1600,37
7/3/2024,1700,35
7/3/2024,1800,33
7/3/2024,1900,29
7/3/2024,2000,27
7/3/2024,2100,24
7/3/2024,2200,22
7/3/2024,2300,21
7/4/2024,0,21
7/4/2024,100,20
7/4/2024,200,20
7/4/2024,300,20
7/4/2024,400,20
7/4/2024,500,21
7/4/2024,600,23
7/4/2024,700,25
7/4/2024,800,28
7/4/2024,900,30
7/4/2024,1000,33
7/4/2024,1100,35
7/4/2024,1200,36
7/4/2024,1300,37
7/4/2024,1400,38
7/4/2024,1500,37
7/4/2024,1600,36
7/4/2024,1700,35
7/4/2024,1800,32
7/4/2024,1900,29
7/4/2024,2000,27
7/4/2024,2100,25
7/4/2024,2200,24
7/4/2024,2300,22
